normalized_expression_id,consolidated_expression_id,original_expression,normalized_expression,normalization_changed,expression_hash,source_count,total_frequency,source_ids,source_types,max_quality_score,max_confidence,created_at
NPE-000068,CPE-000050,veterans affairs national cemetery,veterans affairs national cemetery,no,51fdd6eafefdd03bf550bb68d1a1f543ec45ef6a359ae8008f4adcdc4d3cdd52,1,4,SP-000410,filtered_pattern,9,0.48,2026-06-28 02:37:22
NPE-000069,CPE-000076,army mil proposal default,army mil proposal default,no,aeb0ce6ae618082f52a0be386cb1b680f474f3cbecbebd7358338c5e398d9ea6,1,3,SP-000839,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000070,CPE-000064,award a firm fixed,award a firm fixed,no,45869dd45032aeb66573c02b4a6f7729f5fe7d14e99c3cd51570feed55f0f3d0,1,3,SP-000660,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000071,CPE-000068,award will be made,award will be made,no,e2a5e58f76aa3fc77d3dc8f16dd508b73b80b1227682219fa661fac19eee139f,1,3,SP-000680,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000072,CPE-000075,chess army mil proposal,chess army mil proposal,no,bde272071f43b27758051a0ebdefb1add0f1f00444e485bf95bcaa6ea2fc71ca,1,3,SP-000838,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000073,CPE-000081,cl marine corps base,cl marine corps base,no,3efc6dbed53d94976f20ef51877067073eba4fcde3b880671d8603d97b57465d,1,3,SP-000916,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000074,CPE-000059,copies of the amendment,copies of the amendment,no,d1804f07ae3c1e6ae2883b5f5142261599f3c7bb515fe6ac1fde1f5369a6dfcd,1,3,SP-000600,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000075,CPE-000079,far and dosar provisions,far and dosar provisions,no,62739c392ee95e3cad296650fd4fd0f0ba7a4bc9ede90c6342e622e8453eb8cf,1,3,SP-000868,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000076,CPE-000071,food and drug administration,food and drug administration,no,a6424c0d31e512e25920aacd622e0497dd231926ebc428c40ed0305c0b3de2b5,1,3,SP-000749,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000077,CPE-000077,mil proposal default index,mil proposal default index,no,ae1f086e1580438e343541a3f41523b044e1904285d82c7d8a51156c1ef95136,1,3,SP-000840,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000078,CPE-000061,page of pages amendment,page of pages amendment,no,1af517725d5da325e70ad36ca69b8f3d0b1972e2342c2038705631c90d63598a,1,3,SP-000619,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000079,CPE-000073,quote rfq,quote request for quotation,yes,29340ef6a543ad23e463724f276d5b4f8f5e84b3f85e93ed324ff55375089dfe,1,3,SP-000761,filtered_pattern,9,0.46,2026-06-28 02:37:22
NPE-000080,CPE-000080,renovation cl marine corps,renovation cl marine corps,no,981c62fd57df4c9efc6832021925e71bb96b33e589c7cdbbc134357d945734d1,1,3,SP-000915,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000081,CPE-000065,solicitation to the responsible,solicitation to the responsible,no,fcc2b59bcca03a812378f209f4e2aa76186d01bdbe513ce7913f8dac65567904,1,3,SP-000662,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000082,CPE-000067,the responsible offeror whose,the responsible offeror whose,no,14659e6e0127d9a8d68e09bf9f14e1bdde0847533c4c229bad11b1f057b28872,1,3,SP-000664,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000083,CPE-000066,to the responsible offeror,to the responsible offeror,no,3a09538fd06c19cd86a3f3452f6a5e808be8f03a12faf3bbe83aa8bd15e5cc5a,1,3,SP-000663,filtered_pattern,8,0.44,2026-06-28 02:37:22
NPE-000084,CPE-000084,payment and invoice,payment and invoice,no,c5e391681b6b21cfada1e81c58b7c140d2ebb4b52cea994f6521205cf8cd4966,1,2,SPO-000093,semantic_object_v1,20,0.78,2026-06-28 02:37:22
