canonical_expression_id,canonical_expression,canonical_expression_key,canonicalization_method,normalized_expression_ids,expression_hash,source_count,total_frequency,source_ids,source_types,max_quality_score,max_confidence,created_at
CPX2-000014,Administered By If Other,administered by if other,title_case_short_expression,NPE-000015,40e9c540c7b17ec934740c889e664c8047f0cbd5f021c907883f87300947bbd3,2,12,SA-000100;SP-000100,filtered_alias;filtered_pattern,11,0.54,2026-06-28 02:37:22
CPX2-000015,Solicitation Amendment Acknowledgement,solicitation amendment acknowledgement,title_case_short_expression,NPE-000017,1d652bd9854f463a901f7bae8055a997e68a4e9dc56331ee3c80f44fa4560160,1,11,SPO-000008,semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000016,Administrative Support And Clerical,administrative support and clerical,title_case_short_expression,NPE-000018,560f282f189a012081dc1bbe6016844c8619abf67fc864c0c121439c01c416b8,2,10,SA-000283;SP-000283,filtered_alias;filtered_pattern,10,0.51,2026-06-28 02:37:22
CPX2-000017,Footnote Rate 01000 Administrative,footnote rate 01000 administrative,title_case_short_expression,NPE-000019,d0505427b99a63b24f28fad36e4629b99b3687710fb710a9321deb0f5bde531a,2,10,SA-000280;SP-000280,filtered_alias;filtered_pattern,10,0.51,2026-06-28 02:37:22
CPX2-000018,Proposal Volume,proposal volume,exact_canonical_dictionary_match,NPE-000020,1b4d87ee59d817e46fea8dd7602d085228933b495bc9da8d9b1be433e370d5ec,3,10,SA-000303;SP-000303;SPO-000074,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000019,Rate 01000 Administrative Support,rate 01000 administrative support,title_case_short_expression,NPE-000021,6034e86779e527ae9594364d5af471511a22c9516351115fbb818fa683d6c01c,2,10,SA-000281;SP-000281,filtered_alias;filtered_pattern,10,0.51,2026-06-28 02:37:22
CPX2-000020,Solicitation Metadata,solicitation metadata,title_case_short_expression,NPE-000022,f0b6067f17083a83e47e121f58098e980ad9129477dd18afc9ff1f9756d1ba34,1,10,SPO-000019,semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000041,Combined Synopsis Solicitation,combined synopsis solicitation,exact_canonical_dictionary_match,NPE-000050;NPE-000051,dd51a5ab72559bda69a3734fc57b2a9f00140e29f9292f6585fd9c9683d4d21a,2,9,SP-000198;SP-000428,filtered_pattern,9,0.49,2026-06-28 02:37:22
CPX2-000021,Small Business Set-Aside,small business set-aside,exact_canonical_dictionary_match,NPE-000023,1eeb87d52e87e5a3046f176d31566818c49d4b2be7c497dfad5c3abde6f61169,1,9,SP-000049,filtered_pattern,9,0.56,2026-06-28 02:37:22
CPX2-000022,Amendments Of Solicitations,amendments of solicitations,title_case_short_expression,NPE-000025,2983f78c888d259e1134a541ae4955817ccc9de26728116c1b0e1e74b1716001,2,8,SA-000326;SP-000326,filtered_alias;filtered_pattern,11,0.51,2026-06-28 02:37:22
CPX2-000023,Payment,payment,contains_canonical_dictionary_term,NPE-000026,040ffd5925d40e11c67b7238a7fc9957850b8b9a46e9729fab88c24d6a98aff2,2,8,SA-000499;SP-000499,filtered_alias;filtered_pattern,12,0.52,2026-06-28 02:37:22
CPX2-000024,Place of Performance,place of performance,exact_canonical_dictionary_match,NPE-000027,e6245cfa15b96c955c7f3b9dfb67e4b407452639d6e721ca51cacbdfc3e5bfcf,3,8,SA-000726;SP-000726;SPO-000108,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000026,To Amendments Of Solicitations,to amendments of solicitations,title_case_short_expression,NPE-000029,8ec5f7393dcb43040d805f3d6d20be8e07fbc103e9e62e6f6a1a74728a02579b,2,8,SA-000339;SP-000339,filtered_alias;filtered_pattern,12,0.52,2026-06-28 02:37:22
CPX2-000027,1 Qty 1 Ton,1 qty 1 ton,title_case_short_expression,NPE-000030,f2566009a3b4d0d86d48c35a93b2c0216a4dc150a3c7f9d0b30c5e8d3cfe17dd,1,6,SP-000115,filtered_pattern,8,0.49,2026-06-28 02:37:22
CPX2-000028,Code Title Footnote Rate,code title footnote rate,title_case_short_expression,NPE-000032,ea8bb6f388f14f756ce7113ea3d407aedba66d6a2796af60c51c654fb0a20e53,1,6,SP-000159,filtered_pattern,8,0.49,2026-06-28 02:37:22
