candidate_value,frequency,proposed_labels,quality_score,recommendation
Support,7,unclassified,20,review
Occupational,7,unclassified,20,review
Quantity,7,unclassified,20,review
Emergency,7,unclassified,20,review
Interior,7,unclassified,20,review
Line-Item,7,unclassified,20,review
Identified,7,unclassified,20,review
NESHAPSubpart,7,unclassified,20,review
DETERMINATIONS,7,unclassified,20,review
Secretary,7,unclassified,20,review
Director,7,unclassified,20,review
Determinations,7,unclassified,20,review
Revision,7,unclassified,20,review
Market,6,unclassified,20,review
Research,6,unclassified,20,review
Tables,6,unclassified,20,review
Unrooted,6,unclassified,20,review
Height-caliper,6,unclassified,20,review
Paragraph,6,unclassified,20,review
SUBCONTRACTORS,6,unclassified,20,review
Spanish,6,unclassified,20,review
Desert,6,unclassified,20,review
DUCT,6,unclassified,20,review
Counties,6,unclassified,20,review
Fringe,6,unclassified,20,review
Benefits,6,unclassified,20,review
Follow,6,unclassified,20,review
Listing,6,unclassified,20,review
RATE,6,unclassified,20,review
Clerical,6,unclassified,20,review
Occupations,6,unclassified,20,review
Assistant,6,unclassified,20,review
Court,6,unclassified,20,review
Reporter,6,unclassified,20,review
Dispatcher,6,unclassified,20,review
Motor,6,unclassified,20,review
Vehicle,6,unclassified,20,review
Document,6,unclassified,20,review
Preparation,6,unclassified,20,review
Documentation,5,unclassified,20,review
Reverse,5,unclassified,20,review
Attach,5,unclassified,20,review
Additional,5,unclassified,20,review
Commercial,5,unclassified,20,review
Ornamental,5,unclassified,20,review
Grass,5,unclassified,20,review
Termination,5,unclassified,20,review
Canaveral,5,unclassified,20,review
Small,5,unclassified,20,review
Covered,5,unclassified,20,review
Associate,5,unclassified,20,review
Corps,5,unclassified,20,review
Specification,5,unclassified,20,review
Duplicating,5,unclassified,20,review
Machine,5,unclassified,20,review
DESTINATION,4,unclassified,20,review
ORDER,4,unclassified,20,review
PLACE,4,unclassified,20,review
SUBTITLE,4,unclassified,20,review
PAYMENT,4,unclassified,20,review
QUESTIONS,4,unclassified,20,review
ANSWERS,4,unclassified,20,review
EQUIPMENT,4,unclassified,20,review
HIPAA,4,unclassified,20,review
RETURN,4,unclassified,20,review
G702,4,unclassified,20,review
PCASE,4,unclassified,20,review
REPAIR,4,unclassified,20,review
FAILURE,3,unclassified,20,review
PRICE/COSTS,3,unclassified,20,review
ADDITIONAL,3,unclassified,20,review
SECURITY,3,unclassified,20,review
CAGE/NCAGE,3,unclassified,20,review
ISSUED,3,unclassified,20,review
ADJUSTABLE,3,unclassified,20,review
MAKEUP,3,unclassified,20,review
DESIGNATION,3,unclassified,20,review
WIDTH,3,unclassified,20,review
VALUE,3,unclassified,20,review
WHICH,3,unclassified,20,review
DIRECTED,3,unclassified,20,review
FENCE,3,unclassified,20,review
AROUND,3,unclassified,20,review
SPECK,3,unclassified,20,review
OFFICIAL,3,unclassified,20,review
STRUCTURAL,3,unclassified,20,review
DESIGNER,3,unclassified,20,review
RECORD,3,unclassified,20,review
COUNTERTOP,3,unclassified,20,review
CONTROL,3,unclassified,20,review
JOINT,3,unclassified,20,review
TYPICAL,3,unclassified,20,review
APPROVED,3,unclassified,20,review
ATLANTA,3,unclassified,20,review
RATING,2,unclassified,20,review
BOARD,2,unclassified,20,review
