issue_type,contract_number,supplier,value
zero_value,CW2450970,DELOITTE,0.0
zero_value,CW2450976,Ernst And Young,0.0
zero_value,CW2450983,IBM CANADA,0.0
zero_value,CW2450987,Kpmg,0.0
zero_value,CW2450989,Kpmg,0.0
zero_value,CW2450991,PWC / PRICEWATERHOUSECOOPERS,0.0
zero_value,CW2450996,PWC / PRICEWATERHOUSECOOPERS,0.0
zero_value,CW2451001,Systematix It Solutions Systematix Technology Consultants Systematix Technologies De L Information Services Et Solutions Twm In Joint Venture,0.0
zero_value,CW2340257,Advanced Chippewa Technologies,0.0
zero_value,CW2340273,Ifs North America,0.0
zero_value,CW2340266,Advanced Chippewa Technologies,0.0
